"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Australia","AUS","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.3760213935522","61.1387625607682","61.7859755188225","62.4480995586348","62.4113277224322","62.3274500724877","62.3772979099657","63.3349000794178","63.5311861818714","64.2752212803217","64.3217440887895","64.1439241149056","63.9677933001261","64.2848581701958","64.2634073485638","64.3681338637056","63.7368405206588","64.3619091969118","64.4924501810479","64.1444436949716","65.7390692209027","64.7319468425593","65.2809215063043","66.3269776158021","65.7559132452941","67.2907994024379","68.277680563902","67.0304947142231","66.6532327866015","66.0302251264928","66.0401886132934",
"Austria","AUT","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","49.6039212725156","50.5280229261035","50.5267177051821","51.6857491075745","51.5959059407436","52.2007780184583","53.44495348086","54.0040920148354","54.2213442805396","54.5882470148506","55.036068460659","55.5878586818282","55.7328481910147","56.0670497374178","56.1086635092491","56.4493013769564","57.3487628734054","58.3953549705322","58.1747955316163","58.9178225880654","58.6808938359451","58.4915963946458","58.8627937095527","58.7312187191226","59.3090153444783","59.4875285840504","60.2956964515702","60.3935712577189","60.3182667785607","60.5724261845015","60.7033786497088","60.3153124870919","61.0266320776577","62.1685810384121","62.2941578518769","62.2762436725454","62.0008552248552","62.3265831085282","62.6537932745237","62.8806356002249","62.6034907780993","62.5647050643624","62.7310188872076","62.7716919422153","62.9235389793881",
"Azerbaijan","AZE","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.7544338335607","34.2440119760479","28.8230534636211","35.9009554140127","38.0427808913798","37.9417002530696","30.8497401741931","35.816736852104","43.3412776841249","39.045323302694","35.7855916576588","34.4796448190232","32.4552577319588","31.9247183936193","31.7987854915477","25.0852465561988","23.5098313258154","21.755963399799","23.6588501440061","31.3211521986433","28.216178028965","27.7128374486387","29.522301196302","31.4925578357568","34.1869146526","40.6504229496138","39.322666701972","38.1231713246647","35.2831743494981","36.972533524144","42.5185207683875",
"Burundi","BDI","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","17.76016874538","18.9850703092159","21.4652194448818","18.2273938518011","19.5078982695526","19.4638747372009","20.5786077009794","19.2939474250277","20.6109580610448","20.2521274496022","23.2425334096845","23.960891689656","25.6290163395109","25.4615629160126","23.6605427727615","23.1499160608397","25.0907063359597","25.4671540156219","25.854544497381","23.4006438727418","22.9871362403161","23.348497862179","22.6814595877393","22.3513572629769","26.7703796531697","28.4609699957859","28.1245516913721","32.5720828471412","33.4982258870565","35.7133948177426","32.1289977027999","34.998612766489","35.5059476836453","33.826561596154","33.9799370317603","34.0146526694939","35.7022673486526","39.9188675811784","38.3214407743236","37.8394521765596","36.9511248689049","37.9941508064808","38.8501430562034","36.0235016393443","39.1278229696112","49.3654136558661","47.6730784192525","49.3337014363359","49.1149832347859","47.9445946931757","45.2088533120584",
"Belgium","BEL","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.7913274369077","62.5668554010017","62.0694194371747","62.6376148958103","63.4140241577235","63.0558428934957","64.1634154249023","64.6783106970426","65.312044586028","65.24479338804","65.8743326615868","66.148949028376","66.0540499955037","66.9573617790939","68.0868743520415","67.6576340646489","67.9727359630266","68.499101572423","68.7718896355121","69.1611458268456","69.2286131028117","69.3755634056779","69.3106910884864","69.7023764141068","69.5030855877984","69.6481136334773",
"Benin","BEN","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","43.615302180774","43.9929124720352","45.4994181530483","44.8122107048694","43.67841036362","47.3987255904304","43.5455672370269","46.5059242890085","50.2631170503499","50.4402717265813","51.9683982041306","52.1614596957261","51.8808524617756","52.0799538792979","51.3820792425374","53.297004357434","53.8934593469441","55.5879275391727","51.452491499554","51.6637685074727","52.2856418292352","54.4249432095668","52.3763810335203","51.4853809663329","49.6189872949535","51.7520259669479","54.2210964595729","54.3544832260973","52.2252350907992","49.3750990651927","52.891669584582","52.9735960804375","53.3304153596299","53.6634374041183","54.3679410147105","53.517528996626","51.0277586150128","50.6973620798489","50.8568789177286","33.490071920323","35.3186631524293","37.595219547784","35.7896106948174","37.2055321288927","36.8973075406702","38.0187915766517","39.2378743115272","41.0098695799623","43.8028111047733","44.0902785058205","44.5474397323122","46.9792375495936","48.8721211959796","49.4207609001386","49.528551651517","49.2408968968993","48.2031996094347","48.4009792238265","48.7590461001245","48.0268213377537","47.8973320949726",
"Burkina Faso","BFA","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","38.266007009697","38.4778565731393","38.6513132107516","36.8808326769581","36.6491293871368","41.1530581609629","40.7146337046795","42.177033293903","43.3330367120645","43.1568809117191","44.5465648744565","40.7871567730275","40.91531697807","39.7946832879182","41.7064241283234","40.3988572232805","38.749152552934","43.9061517260783","42.7755454372937","47.0220135197027","48.4661425604687","48.4483110994204","50.4855350919865","49.8629539201625","49.4289833546775","43.2161046944243","45.0313582333358","45.947053251314","45.3141294834273","45.8511330252438","47.5925973739069","46.3586227386582","46.4065394896962","46.2776042581147","39.3936571262445","39.532823713261","37.4748721663137","38.3333246970843","37.9875193058709","43.9512839598567","47.7431323544295","46.3932165940742","46.5996342910245","44.9144762732164","46.4776363991653","44.5494891325644","47.138528226651","48.1789341308636","45.0673520982897","45.889730891061","42.120724852489","40.5626068793802","40.3188210511278","41.5589270375237","42.4959291277041","44.0818142324194","43.8058266776224","43.9679835884394","42.4421172892965","44.5284566827977","41.2175086717595",
"Bangladesh","BGD","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","35.5518720551537","35.2176462996046","35.0175642153379","35.0487389633338","36.2201388963456","36.4582804781822","35.7375438522889","36.0446932217479","37.1819145143434","35.4007770657731","36.7094171781466","41.2848500130114","34.3259918971786","31.2508095136351","29.9907187171958","26.4348135606942","33.636340273609","34.3728691714734","31.4399790078613","31.8615331335383","44.5556655907183","45.6914352087313","46.1447752829575","45.7825820086847","41.6474498065096","44.417440493569","45.0844194862662","45.4917707763128","46.388671922785","47.181342552744","46.7006908436479","44.3573351255736","44.3837968399425","46.0446640620564","46.2837782535776","45.1285007128911","50.1242014306067","49.9341757797937","49.8336270363667","50.2007432591683","50.566324299804","50.5801185568603","51.5724174972413","52.4004924204798","52.8058618188649","52.8799568974096","52.7445971888149","52.8840217973928","52.932121684056","53.3233235281853","53.4982962820487","53.045792114203","53.1515772370168","53.3901814201826","53.6357543166708","53.7138319423318","53.6713010179276","53.4762107306392","52.9649395131073","52.849325301184","54.631683687963",
"Bulgaria","BGR","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","30.492419836377","29.0035228988425","24.9860407403578","25.0957584539118","24.0741500873041","25.1373664301295","21.370098594577","30.0572385871841","32.4771613582961","32.7416926062174","35.2033240362542","35.6985998526161","39.1195219123506","45.2873870859819","44.6847412480974","65.2783852978573","65.9316130365564","49.0908404040551","54.4354059079889","53.4034633005432","54.0162572788313","53.4910862367737","55.2606362107261","53.8526280140465","54.0545322599044","53.5290704756185","52.9401137537383","53.9568266527607","53.257709656042","56.0934487454364","59.5800669824636","57.6886227785281","57.3531759846078","58.3593637228303","58.869002213163","58.6059914182201","57.8516563389337","58.0572241317643","60.9595940317742","61.4613051019748","60.1632189715981",
"Bahrain","BHR","Services, value added (% of GDP)","NV.SRV.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","36.4476297383646","37.3341667305775","41.6545229063321","46.1905440045571","45.8903643173306","","","","","","","","","","","","","","","","","","","","","","53.4635279305642","52.8099940272787","48.3070764329234","55.5964970660087","53.6817129162749","49.3409426987061","51.1878834846658","50.8394878886851","52.4743941665379","58.5949170195562","59.5527356883258","57.5867399802371","55.981208334334","55.0606853665247","59.1679525917165",
